BehaviorSpace results (Python virus-model),Spreadsheet version 2.0
Virus (Python replication)
baseline_1_runs
2026-05-19T23:13:43.182+10:00
min-pxcor,max-pxcor,min-pycor,max-pycor
-17,17,-17,17
[run number],1,1,1,1,1,1,1,1
duration,20,20,20,20,20,20,20,20
number-people,150,150,150,150,150,150,150,150
chance-recover,75,75,75,75,75,75,75,75
turtle-shape,person,person,person,person,person,person,person,person
infectiousness,65,65,65,65,65,65,65,65
[reporter],[step],ticks,count turtles with [sick?],count turtles with [immune?],count turtles with [not sick? and not immune?],count turtles,%infected,%immune
[final],2,2,12,0,142,154,7.792207792207792,0.0
[min],0,0,10,0,140,150,6.578947368421052,0.0
[max],2,2,12,0,142,154,7.792207792207792,0.0
[mean],1,1,10.666666666666666,0,141.33333333333334,152,7.012607275765171,0.0
[total steps],2,2,2,2,2,2,2,2

[all run data],[step],ticks,count turtles with [sick?],count turtles with [immune?],count turtles with [not sick? and not immune?],count turtles,%infected,%immune
,0,0,10,0,140,150,6.666666666666667,0.0
,1,1,10,0,142,152,6.578947368421052,0.0
,2,2,12,0,142,154,7.792207792207792,0.0
